outcome,money,n,mean,std_dev,pearson_chi2_p
email,0,248,0.2217741935483871,0.4162801306639338,0.008872237957683635
email,1,248,0.32661290322580644,0.4699227037770578,0.008872237957683635
wallet_recovery,0,248,0.7701612903225806,0.4215798009107886,0.665504869117242
wallet_recovery,1,248,0.7862903225806451,0.4107531696575221,0.665504869117242
wallet_totalrecovery,0,248,0.75,0.4338883604243618,0.023728086804223794
wallet_totalrecovery,1,248,0.657258064516129,0.47558587556393517,0.023728086804223794
