spec_id,term,estimate,std_error,p_value,nobs,df_resid,clusters,published_estimate,published_std_error,published_nobs,estimate_abs_delta,std_error_abs_delta
m1,avg_relgrowth,-0.03352998202906142,0.08477492249276389,0.6927179840373184,5640,5123.0,329,-0.034,0.085,5640,0.00047001797093858266,0.0002250775072361183
m2,avg_relgrowth,-0.09085907776512865,0.08978685300921664,0.3123186165453569,5172,4649.0,326,-0.091,0.089,5172,0.00014092223487134625,0.0007868530092166454
m3,avg_relgrowth,-0.0603386737888899,0.1089949244411617,0.5802390241617269,5141,4620.0,326,-0.06,0.108,5141,0.00033867378888990246,0.0009949244411616986
