"spec_id","term","estimate","std_error","n","df_resid"
"m1","nj",2.32583118888318,1.19159627769994,357,355
"m2","nj",2.30385950943333,1.19553247876161,357,351
"m3","gap",15.6528895761538,6.08023687660974,357,355
"m4","gap",14.915673959184,6.2053345597466,357,351
"m5","gap",11.9130641114798,7.39440938651714,357,348
