spec_id,term,estimate,std_error,n,df_resid
m1,nj,2.325831188883181,1.1915962776999378,357,355.0
m2,nj,2.3038595094333245,1.1955324787616084,357,351.0
m3,gap,15.652889576153786,6.080236876609745,357,355.0
m4,gap,14.915673959184057,6.205334559746598,357,351.0
m5,gap,11.913064111479866,7.394409386517157,357,348.0
